No,StationID,Latitude,Longitude,Type,AI
1,0010381SF,6.625,100.26028,active,
2,0060111SF,5.4353,100.51333,active,
3,0750011SF,4.6897,116.4813,active,
4,0750051SF,4.71889,116.44139,active,
5,0180721SF,4.13467,101.1461,active,
6,0180761SF,4.66804,101.15701,active,
7,0180771SF,4.6055,101.0664,active,
8,0180781SF,4.81944,100.96528,active,
9,0180791SF,4.93908,101.1036,active,
10,0180821SF,4.99131,101.3144,active,
11,0180961SF,4.23194,101.21944,active,
12,0181051SF,4.32222,101.075,active,
13,0181111SF,4.07192,101.2451,active,
14,0190241SF,3.82639,101.41111,active,
15,0010311SF,6.50278,100.35139,active,
16,0190251SF,3.8075,101.36944,active,
17,0190621SF,3.692083,101.3419,active,
18,0190631SF,3.667389,101.3444,active,
19,0210241SF,3.40278,101.44306,active,
20,0210341SF,3.54472,101.67222,active,
21,0210631SF,3.48556,101.53917,active,
22,0240251SF,2.99278,101.78694,active,
23,0240261SF,2.99306,101.7875,active,
24,0240311SF,3.17361,101.87222,active,
25,0240351SF,2.91528,101.82361,active,
26,0240491SF,2.813413,101.641903,active,
27,0600081SF,4.28,103.26083,active,
28,0600171SF,4.27167,103.21458,active,
29,0600181SF,4.37778,103.2625,active,
30,0270191SF,2.51667,102.05833,active,
31,0270241SF,2.69167,101.91667,active,
32,0270311SF,2.73556,101.955,active,
33,0320461SF,2.74861,102.24861,active,
34,0320481SF,2.56556,102.44667,active,
35,0290141SF,2.33944,102.25447,active,
36,0290161SF,2.32339,102.29097,active,
37,0310011SF,2.29044,102.48997,active,
38,0270171SF,2.68111,101.9275,active,
39,0270181SF,2.51667,102.05833,active,
40,0320471SF,2.50694,102.81806,active,
41,0320651SF,2.55556,102.76389,active,
42,0430211SF,1.78056,103.74583,active,
43,0430341SF,1.80417,103.66944,active,
44,0320851SF,2.70611,102.50222,active,
45,0550801SF,2.94861,102.08889,active,
46,0550811SF,3.075,102.21806,active,
47,0470181SF,2.0125,103.90694,active,
48,0500221SF,2.53194,103.375,active,
49,0500291SF,2.25139,103.5875,active,
50,0050011SF,5.53111,100.57333,active,
51,0500171SF,2.25833,103.73611,active,
52,0050181SF,5.81944,100.63194,active,
53,0730351SF,5.7625,102.15,active,
54,0550981SF,3.44444,102.42917,active,
55,0551071SF,4.01806,101.96528,active,
56,0551111SF,3.5125,101.91528,active,
57,0551251SF,3.69722,102.97222,active,
58,0570011SF,3.93238,103.06229,active,
59,0090211SF,5.21667,100.6833,active,
60,0180691SF,4.11111,101.28889,active,
61,0630111SF,4.84306,103.20417,active,
62,0670151SF,5.1375,103.04583,active,
63,0670271SF,5.29167,102.92222,active,
64,0670311SF,5.16306,102.9185,active,
65,0680091SF,5.44167,102.83472,active,
66,0700071SF,5.73972,102.49306,active,
67,0230291SF,3.17806,101.68283,active,
68,0230311SF,3.17281,101.69525,active,
69,0230361SF,3.13856,101.69442,active,
70,0740121SF,6.025,101.97778,active,
71,1040091SF,5.1128,115.9278,active,
72,1040131SF,5.3097,117.5999,active,
73,1040181SF,5.2306,117.50328,active,
74,1040391SF,5.4492,116.55697,active,
75,1160031SF,6.0496,117.32042,active,
76,1160091SF,5.8552,117.3524,active,
77,1160161SF,6.0053,116.5463,active,
78,1160281SF,5.627,117.1445,active,
79,1280011SF,6.4423,116.81611,active,
80,1390021SF,5.914027778,116.1228333,active,
81,1400031SF,5.7689,116.09356,active,
82,1400041SF,5.7076,116.038,active,
83,1410031SF,5.530527778,116.0026667,active,
84,1460211SF,4.916667,115.9208,active,
85,1460281SF,5.3531,115.7268,active,
86,1460521SF,5.7011,116.8497,active,
87,1460561SF,5.6847,116.3789,active,
88,1790201SF,1.07075,110.4978,active,
89,0190211SF,3.677919,101.520611,active,
90,0050301SF,5.63889,100.8125,not active,
91,1790191SF,1.08361,110.63056,not active,
92,1790241SF,1.050861,110.5534,not active,
93,1301427,1.397399,110.116488,active,
94,1015401,1.006809,111.544816,active,
95,1206401,1.226183,110.694873,active,
96,1714401,1.72147,111.42844,active,
97,1302428,1.355511,110.266689,active,
98,2029403,2.018514,112.9408,active,
99,1004438,1.070231,110.501442,active,
100,3152408,3.168761,115.223714,active,
101,3541401,3.583139,114.115139,active,
102,1018401,1.043486,111.831785,active,
103,1503446,1.532809,110.32449,active,
104,1005447,1.050426,110.557056,active,
105,1415401,1.495641,111.590906,active,
106,1515401,1.553472,111.529028,active,
107,1108401,1.143217,110.895661,active,
108,1813401,1.803756,111.336108,active,
109,1601401,1.612821,110.151984,active,
