Basin,Amin_Type,Station,Num_Data_Points,Loc_Param,Scale_Param,Shape_Param,Rate_Param,Threshold_Param,MeanLog_Param,SdLog_Param,Zeta_Param,Alpha_Param,Kappa_Param,RP_1.11_yr,RP_2_yr,RP_5_yr,RP_10_yr,RP_20_yr,RP_25_yr,RP_50_yr,RP_100_yr
Sabah,amin_1Q,0750011SF,30,NA,NA,NA,NA,NA,2.581,0.33,NA,NA,NA,20,13,10,9,8,7,7,6
Sabah,amin_1Q,0750051SF,13,-2.971,3.93,-1.327,NA,NA,NA,NA,NA,NA,NA,9,2,0,0,0,0,0,0
Sabah,amin_1Q,1040091SF,51,NA,NA,NA,NA,NA,6.078,NA,-409.949,NA,NA,46,26,13,7,2,0,-4,-8
Sabah,amin_1Q,1040391SF,13,NA,NA,NA,NA,NA,1.668,0.614,NA,NA,NA,12,5,3,2,2,2,2,1
Sabah,amin_1Q,1160031SF,35,NA,NA,NA,NA,NA,2.575,NA,-8.16,NA,NA,10,5,3,2,1,1,0,-1
Sabah,amin_1Q,1160091SF,52,NA,NA,0.847,0.036,NA,NA,NA,NA,NA,NA,57,15,4,2,1,1,0,0
Sabah,amin_1Q,1160161SF,26,NA,NA,NA,NA,NA,-1.355,NA,-0.171,NA,NA,0,0,0,0,0,0,0,0
Sabah,amin_1Q,1280011SF,33,NA,NA,NA,NA,NA,1.122,0.465,NA,NA,NA,6,3,2,2,1,1,1,1
Sabah,amin_1Q,1390021SF,20,NA,NA,0.691,0.854,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0
Sabah,amin_1Q,1400031SF,50,NA,NA,2.241,0.401,NA,NA,NA,NA,NA,NA,11,5,2,2,1,1,1,1
Sabah,amin_1Q,1400041SF,52,NA,NA,NA,NA,NA,3.589,NA,-30.878,NA,NA,9,5,3,2,1,1,0,-1
Sabah,amin_1Q,1460211SF,51,NA,NA,NA,NA,NA,2.771,NA,-0.87,NA,NA,33,15,9,7,5,5,4,3
Sabah,amin_1Q,1460281SF,39,-37.938,22.694,-0.592,NA,NA,NA,NA,NA,NA,NA,63,30,15,10,6,5,3,2
Sabah,amin_1Q,1460521SF,24,NA,NA,NA,NA,NA,2.622,NA,-3.662,NA,NA,19,10,6,5,4,3,3,2
Sabah,amin_1Q,1460561SF,20,NA,NA,NA,NA,NA,2.497,NA,-10.674,NA,NA,3,1,1,0,0,0,0,-1
Sarawak,amin_1Q,1015401,27,NA,NA,NA,NA,NA,-7.01,NA,0,NA,NA,0,0,0,0,0,0,0,0
Sarawak,amin_1Q,1301427,15,NA,NA,NA,NA,NA,-0.31,3.097,NA,NA,NA,39,1,0,0,0,0,0,0
Sarawak,amin_1Q,1302428,26,NA,NA,NA,NA,NA,1.568,0.963,NA,NA,NA,17,5,2,1,1,1,1,1
Sarawak,amin_1Q,1415401,31,NA,NA,NA,NA,NA,1.568,0.754,NA,NA,NA,13,5,3,2,1,1,1,1
Sarawak,amin_1Q,1515401,25,-18.761,6.053,-0.54,NA,NA,NA,NA,NA,NA,NA,25,17,13,11,10,10,9,8
Sarawak,amin_1Q,3541401,24,-5.362,10.615,-1.98,NA,NA,NA,NA,NA,NA,NA,28,3,0,0,0,0,0,0
SG BERNAM,amin_1Q,0190211SF,63,NA,NA,NA,NA,NA,1.1,NA,-0.429,NA,NA,6,3,1,1,1,1,0,0
SG BERNAM,amin_1Q,0190241SF,64,NA,NA,NA,NA,NA,3.207,NA,-18.607,NA,NA,13,6,2,1,-1,-1,-2,-3
SG BERNAM,amin_1Q,0190251SF,62,NA,NA,11.142,0.676,NA,NA,NA,NA,NA,NA,23,16,12,11,9,9,8,7
SG BERNAM,amin_1Q,0190621SF,12,NA,NA,NA,NA,NA,3.529,NA,-29.268,NA,NA,9,5,2,1,0,0,-1,-2
SG BERNAM,amin_1Q,0190631SF,12,-14.499,2.312,0,NA,NA,NA,NA,NA,NA,NA,16,14,11,9,8,7,5,4
SG DUNGUN,amin_1Q,0630111SF,51,NA,NA,NA,NA,NA,8.548,NA,-5128.904,NA,NA,48,26,12,5,-2,-3,-8,-13
SG ENDAU,amin_1Q,0500171SF,55,NA,NA,NA,NA,NA,0.611,NA,-0.186,NA,NA,3,2,1,1,1,1,0,0
SG ENDAU,amin_1Q,0500221SF,25,NA,NA,NA,NA,NA,1.528,NA,-1.999,NA,NA,9,3,1,0,-1,-1,-1,-1
SG ENDAU,amin_1Q,0500291SF,47,NA,NA,0.405,0.069,NA,NA,NA,NA,NA,NA,17,2,0,0,0,0,0,0
SG GOLOK,amin_1Q,0740121SF,60,NA,NA,NA,NA,NA,1.697,1.086,NA,NA,NA,22,5,2,1,1,1,1,0
SG JOHOR,amin_1Q,0430211SF,55,NA,NA,NA,NA,NA,3.86,NA,-40.594,NA,NA,12,7,4,3,1,1,0,-1
SG JOHOR,amin_1Q,0430341SF,48,NA,NA,NA,NA,NA,1.478,NA,-2.045,NA,NA,5,2,1,1,0,0,0,0
SG KELANTAN,amin_1Q,0730351SF,62,NA,NA,NA,NA,NA,6.753,NA,-727.852,NA,NA,217,129,76,50,28,22,5,-10
SG KEMAMAN,amin_1Q,0600081SF,48,-9.846,5.968,-0.733,NA,NA,NA,NA,NA,NA,NA,17,8,4,3,3,2,2,2
SG KEMAMAN,amin_1Q,0600171SF,23,NA,NA,1.297,0.172,NA,NA,NA,NA,NA,NA,16,6,2,1,1,1,0,0
SG KEMAMAN,amin_1Q,0600181SF,23,-0.479,0.511,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,-1,-1,-1,-2,-2
SG KERIAN,amin_1Q,0090211SF,61,NA,NA,NA,NA,NA,3.112,NA,-13.894,NA,NA,17,9,5,3,1,1,0,-1
SG KESANG,amin_1Q,0310011SF,65,-0.358,0.278,-0.817,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0
SG KIMANIS,amin_1Q,1410031SF,9,NA,NA,NA,NA,NA,1.036,NA,-1.947,NA,NA,2,1,0,0,0,0,0,0
SG KINABATANGAN,amin_1Q,1040131SF,41,NA,NA,NA,NA,NA,4.845,NA,-74.957,NA,NA,96,52,30,20,12,10,5,0
SG KINABATANGAN,amin_1Q,1040181SF,35,NA,NA,NA,NA,NA,3.937,NA,-16.361,NA,NA,67,35,21,15,11,10,7,5
SG KINABATANGAN,amin_1Q,1160281SF,20,NA,NA,NA,NA,NA,3.324,NA,3.635,NA,NA,43,31,26,23,21,21,19,18
SG KLANG,amin_1Q,0230291SF,51,NA,NA,NA,NA,NA,1.565,NA,-2.749,NA,NA,5,2,1,0,0,0,-1,-1
SG KLANG,amin_1Q,0230311SF,53,NA,NA,0.606,0.407,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,0,0
SG KLANG,amin_1Q,0230361SF,50,NA,NA,NA,NA,NA,1.987,NA,-0.405,NA,NA,23,7,3,2,1,1,1,0
SG KRIAN,amin_1Q,1813401,21,NA,NA,0.579,3.225,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
SG KUANTAN,amin_1Q,0570011SF,44,NA,NA,NA,NA,NA,3.01,NA,-14.399,NA,NA,14,6,2,0,-1,-2,-3,-3
SG LANGAT,amin_1Q,0240251SF,62,NA,NA,NA,NA,NA,3.84,NA,-40.05,NA,NA,11,6,4,2,1,1,0,-1
SG LANGAT,amin_1Q,0240261SF,46,NA,NA,NA,NA,NA,0.829,0.851,NA,NA,NA,7,2,1,1,1,1,0,0
SG LANGAT,amin_1Q,0240311SF,59,NA,NA,NA,NA,NA,-0.2,NA,-0.21,NA,NA,1,1,0,0,0,0,0,0
SG LANGAT,amin_1Q,0240351SF,51,NA,NA,2.039,0.89,NA,NA,NA,NA,NA,NA,4,2,1,1,0,0,0,0
SG LANGAT,amin_1Q,0240491SF,11,NA,NA,NA,NA,NA,0.443,NA,12.866,NA,NA,24,14,13,13,13,13,13,13
SG LINGGI,amin_1Q,0270171SF,65,NA,NA,NA,NA,NA,1.789,NA,-2.78,NA,NA,9,3,1,0,0,0,-1,-1
SG LINGGI,amin_1Q,0270181SF,49,NA,NA,NA,NA,NA,-0.574,NA,-0.087,NA,NA,2,0,0,0,0,0,0,0
SG LINGGI,amin_1Q,0270191SF,58,NA,NA,NA,NA,NA,-0.949,1.117,NA,NA,NA,2,0,0,0,0,0,0,0
SG LINGGI,amin_1Q,0270241SF,11,NA,NA,NA,NA,NA,-3.088,1.297,NA,NA,NA,0,0,0,0,0,0,0,0
SG LINGGI,amin_1Q,0270311SF,23,NA,NA,0.367,0.106,NA,NA,NA,NA,NA,NA,10,1,0,0,0,0,0,0
SG MELAKA,amin_1Q,0290141SF,64,NA,NA,NA,NA,NA,-0.392,1.437,NA,NA,NA,4,1,0,0,0,0,0,0
SG MELAKA,amin_1Q,0290161SF,49,NA,NA,NA,NA,NA,-2.061,1.084,NA,NA,NA,1,0,0,0,0,0,0,0
SG MERANG,amin_1Q,0680091SF,45,-0.233,0.129,-0.583,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
SG MUAR,amin_1Q,0320461SF,50,NA,NA,NA,NA,NA,0.829,NA,-1.01,NA,NA,3,1,0,0,0,0,0,0
SG MUAR,amin_1Q,0320471SF,60,NA,NA,NA,NA,NA,1.861,NA,-3.531,NA,NA,8,3,1,0,-1,-1,-1,-1
SG MUAR,amin_1Q,0320481SF,58,NA,NA,NA,NA,NA,-0.167,3.947,NA,NA,NA,136,1,0,0,0,0,0,0
SG MUAR,amin_1Q,0320651SF,10,NA,NA,2.603,1.188,NA,NA,NA,NA,NA,NA,4,2,1,1,1,0,0,0
SG MUAR,amin_1Q,0320851SF,15,NA,NA,NA,NA,NA,0.997,NA,-0.985,NA,NA,7,2,0,0,0,0,-1,-1
SG MUDA,amin_1Q,0050011SF,64,NA,NA,NA,NA,NA,2.876,NA,-6.246,NA,NA,33,12,4,2,0,0,-1,-2
SG MUDA,amin_1Q,0050181SF,61,NA,NA,NA,NA,NA,1.353,NA,-0.011,NA,NA,16,4,2,1,1,1,0,0
SG MUDA,amin_1Q,0050301SF,38,NA,NA,NA,NA,NA,1.432,0.871,NA,NA,NA,13,4,2,1,1,1,1,1
SG PAHANG,amin_1Q,0550801SF,62,NA,NA,NA,NA,NA,1.159,NA,-1.667,NA,NA,4,2,0,0,0,0,-1,-1
SG PAHANG,amin_1Q,0550811SF,62,-5.764,2.044,0,NA,NA,NA,NA,NA,NA,NA,7,5,3,1,0,-1,-2,-4
SG PAHANG,amin_1Q,0550981SF,58,NA,NA,NA,NA,NA,5.018,NA,-18.572,NA,NA,271,133,80,60,47,44,35,28
SG PAHANG,amin_1Q,0551071SF,60,NA,NA,NA,NA,NA,2.895,1.039,NA,NA,NA,69,18,8,5,3,3,2,2
SG PAHANG,amin_1Q,0551111SF,55,NA,NA,NA,NA,NA,2.519,NA,-10.141,NA,NA,4,2,1,1,0,0,0,-1
SG PAHANG,amin_1Q,0551251SF,51,-2.53,2.656,-1.054,NA,NA,NA,NA,NA,NA,NA,6,2,1,0,0,0,0,0
SG PERAI,amin_1Q,0060111SF,62,NA,NA,NA,NA,NA,1.431,NA,-2.551,NA,NA,3,2,1,0,0,0,0,0
SG PERAK,amin_1Q,0180691SF,17,-1.832,0.424,-0.058,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,0,0
SG PERAK,amin_1Q,0180721SF,57,NA,NA,NA,NA,NA,4.234,NA,-47.666,NA,NA,46,21,9,3,-1,-2,-6,-8
SG PERAK,amin_1Q,0180761SF,57,NA,NA,NA,NA,NA,0.696,NA,-0.816,NA,NA,3,1,0,0,0,0,0,0
SG PERAK,amin_1Q,0180771SF,60,-2.351,2.101,-0.892,NA,NA,NA,NA,NA,NA,NA,5,2,1,0,0,0,0,0
SG PERAK,amin_1Q,0180781SF,65,-122.137,62.556,-0.548,NA,NA,NA,NA,NA,NA,NA,189,101,58,41,30,28,21,17
SG PERAK,amin_1Q,0180791SF,57,NA,NA,NA,NA,NA,4.385,NA,-67.66,NA,NA,21,13,8,5,3,3,1,0
SG PERAK,amin_1Q,0180821SF,64,NA,NA,NA,NA,NA,1.887,NA,-2.074,NA,NA,13,5,2,1,0,0,0,-1
SG PERAK,amin_1Q,0180961SF,54,NA,NA,1.087,0.307,NA,NA,NA,NA,NA,NA,8,3,1,0,0,0,0,0
SG PERAK,amin_1Q,0181051SF,48,NA,NA,NA,NA,NA,3.442,NA,-6.436,NA,NA,47,25,16,12,9,9,7,5
SG PERAK,amin_1Q,0181111SF,43,NA,NA,NA,NA,NA,1.915,NA,-3.952,NA,NA,7,3,1,0,0,0,-1,-1
SG PERLIS,amin_1Q,0010311SF,37,NA,NA,NA,NA,NA,-1.105,NA,-0.209,NA,NA,0,0,0,0,0,0,0,0
SG PERLIS,amin_1Q,0010381SF,23,NA,NA,1.012,5.174,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
SG SADONG,amin_1Q,1004438,28,NA,NA,1.735,0.368,NA,NA,NA,NA,NA,NA,10,4,2,1,1,1,0,0
SG SADONG,amin_1Q,1005447,14,NA,NA,NA,NA,NA,1.007,NA,0.164,NA,NA,6,3,2,1,1,1,1,1
SG SADONG,amin_1Q,1108401,27,NA,NA,NA,NA,NA,-12.436,6.68,NA,NA,NA,0,0,0,0,0,0,0,0
SG SADONG,amin_1Q,1790191SF,33,-4.778,3.274,0,NA,NA,NA,NA,NA,NA,NA,8,4,0,-3,-5,-6,-8,-10
SG SADONG,amin_1Q,1790201SF,35,NA,NA,NA,NA,NA,5.354,NA,-205.194,NA,NA,8,6,5,4,4,3,3,3
SG SADONG,amin_1Q,1790241SF,34,-1.517,1.99,-1.321,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,0,0,0,0
SG SEDELI BESAR,amin_1Q,0470181SF,19,NA,NA,NA,NA,NA,0.373,NA,-0.257,NA,NA,2,1,1,1,1,0,0,0
SG SELANGOR,amin_1Q,0210241SF,65,-20.674,6.165,0,NA,NA,NA,NA,NA,NA,NA,26,18,11,7,2,1,-3,-8
SG SELANGOR,amin_1Q,0210341SF,15,-5.666,0.98,0.359,NA,NA,NA,NA,NA,NA,NA,6,5,4,2,0,0,-3,-6
SG SELANGOR,amin_1Q,0210631SF,11,NA,NA,NA,NA,NA,2.701,NA,-2.003,NA,NA,22,13,9,7,6,6,5,4
SG TERENGGANU,amin_1Q,0670151SF,59,NA,NA,2.369,0.026,NA,NA,NA,NA,NA,NA,168,77,41,28,19,17,12,9
SG TERENGGANU,amin_1Q,0670271SF,43,NA,NA,5.694,0.623,NA,NA,NA,NA,NA,NA,14,9,6,5,4,4,3,3
SG TERENGGANU,amin_1Q,0670311SF,19,-4.344,1.028,-0.025,NA,NA,NA,NA,NA,NA,NA,5,4,3,2,1,1,1,0
SG. BESUT,amin_1Q,0700071SF,44,NA,NA,NA,NA,NA,1.292,NA,-0.633,NA,NA,12,3,1,0,0,0,0,0
Sabah,amin_4Q,0750011SF,30,NA,NA,NA,NA,NA,2.53,NA,1.766,NA,NA,22,14,11,9,8,8,8,7
Sabah,amin_4Q,0750051SF,13,NA,NA,NA,NA,NA,1.018,NA,-0.472,NA,NA,9,2,1,0,0,0,0,0
Sabah,amin_4Q,1040091SF,51,NA,NA,NA,NA,NA,6.213,NA,-469.214,NA,NA,52,30,16,9,3,2,-3,-7
Sabah,amin_4Q,1040391SF,13,NA,NA,NA,NA,NA,1.731,0.566,NA,NA,NA,12,6,4,3,2,2,2,2
Sabah,amin_4Q,1160031SF,35,NA,NA,NA,NA,NA,2.543,NA,-7.034,NA,NA,11,6,3,2,1,1,1,0
Sabah,amin_4Q,1160091SF,52,NA,NA,0.876,0.034,NA,NA,NA,NA,NA,NA,62,17,5,2,1,1,0,0
Sabah,amin_4Q,1160161SF,26,NA,NA,NA,NA,NA,-0.935,NA,-0.292,NA,NA,0,0,0,0,0,0,0,0
Sabah,amin_4Q,1280011SF,33,NA,NA,NA,NA,NA,1.351,NA,-0.543,NA,NA,6,3,2,2,1,1,1,1
Sabah,amin_4Q,1390021SF,20,NA,NA,0.796,0.89,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,0,0
Sabah,amin_4Q,1400031SF,50,NA,NA,2.298,0.382,NA,NA,NA,NA,NA,NA,11,5,3,2,1,1,1,1
Sabah,amin_4Q,1400041SF,52,NA,NA,NA,NA,NA,3.802,NA,-38.952,NA,NA,10,6,3,2,1,1,0,-1
Sabah,amin_4Q,1460211SF,51,NA,NA,NA,NA,NA,2.877,NA,-1.365,NA,NA,35,16,10,7,6,5,4,3
Sabah,amin_4Q,1460281SF,39,NA,NA,2.587,0.063,NA,NA,NA,NA,NA,NA,75,36,19,14,10,9,6,5
Sabah,amin_4Q,1460521SF,24,NA,NA,NA,NA,NA,2.723,NA,-4.244,NA,NA,20,11,7,5,4,4,3,2
Sabah,amin_4Q,1460561SF,20,NA,NA,NA,NA,NA,3.742,NA,-40.488,NA,NA,3,2,1,0,0,0,0,-1
Sarawak,amin_4Q,1015401,27,NA,NA,NA,NA,NA,-4.722,NA,-0.001,NA,NA,0,0,0,0,0,0,0,0
Sarawak,amin_4Q,1301427,15,NA,NA,NA,NA,NA,1.676,1.323,NA,NA,NA,29,5,2,1,1,1,0,0
Sarawak,amin_4Q,1302428,26,NA,NA,NA,NA,NA,1.708,0.855,NA,NA,NA,17,6,3,2,1,1,1,1
Sarawak,amin_4Q,1415401,31,NA,NA,NA,NA,NA,1.648,0.756,NA,NA,NA,14,5,3,2,1,1,1,1
Sarawak,amin_4Q,1515401,25,-19.118,6.591,-0.686,NA,NA,NA,NA,NA,NA,NA,27,17,13,12,11,11,10,10
Sarawak,amin_4Q,3541401,24,-9.183,14.985,-1.644,NA,NA,NA,NA,NA,NA,NA,36,5,1,0,0,0,0,0
SG BERNAM,amin_4Q,0190211SF,63,NA,NA,NA,NA,NA,1.178,NA,-0.405,NA,NA,6,3,2,1,1,1,1,0
SG BERNAM,amin_4Q,0190241SF,64,NA,NA,NA,NA,NA,3.267,NA,-19.918,NA,NA,13,6,3,1,-1,-1,-2,-3
SG BERNAM,amin_4Q,0190251SF,62,NA,NA,11.061,0.647,NA,NA,NA,NA,NA,NA,24,17,13,11,10,9,8,7
SG BERNAM,amin_4Q,0190621SF,12,-8.09,2.228,0.12,NA,NA,NA,NA,NA,NA,NA,10,7,4,2,0,-1,-3,-6
SG BERNAM,amin_4Q,0190631SF,12,-16.194,2.215,0,NA,NA,NA,NA,NA,NA,NA,18,15,13,11,10,9,8,6
SG DUNGUN,amin_4Q,0630111SF,51,NA,NA,NA,NA,NA,6.377,NA,-560.641,NA,NA,51,27,13,5,-1,-3,-8,-13
SG ENDAU,amin_4Q,0500171SF,55,NA,NA,NA,NA,NA,0.601,NA,-0.094,NA,NA,4,2,1,1,1,1,0,0
SG ENDAU,amin_4Q,0500221SF,25,NA,NA,NA,NA,NA,1.897,NA,-3.442,NA,NA,9,3,1,0,-1,-1,-1,-1
SG ENDAU,amin_4Q,0500291SF,47,-6.056,7.258,-1.232,NA,NA,NA,NA,NA,NA,NA,17,4,1,1,0,0,0,0
SG GOLOK,amin_4Q,0740121SF,60,NA,NA,NA,NA,NA,1.781,1.062,NA,NA,NA,23,6,2,2,1,1,1,1
SG JOHOR,amin_4Q,0430211SF,55,NA,NA,NA,NA,NA,4.357,NA,-70.293,NA,NA,13,8,5,3,2,2,1,0
SG JOHOR,amin_4Q,0430341SF,48,NA,NA,NA,NA,NA,1.888,NA,-3.95,NA,NA,5,3,1,1,0,0,0,0
SG KELANTAN,amin_4Q,0730351SF,62,NA,NA,NA,NA,NA,6.62,NA,-615.581,NA,NA,225,134,80,54,32,26,9,-6
SG KEMAMAN,amin_4Q,0600081SF,48,NA,NA,3.068,0.319,NA,NA,NA,NA,NA,NA,17,9,5,4,3,2,2,1
SG KEMAMAN,amin_4Q,0600171SF,23,NA,NA,1.407,0.174,NA,NA,NA,NA,NA,NA,17,6,3,1,1,1,0,0
SG KEMAMAN,amin_4Q,0600181SF,23,-0.489,0.519,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,-1,-1,-1,-2,-2
SG KERIAN,amin_4Q,0090211SF,61,-10.939,5.923,-0.511,NA,NA,NA,NA,NA,NA,NA,17,9,5,3,2,2,1,0
SG KESANG,amin_4Q,0310011SF,65,NA,NA,NA,NA,NA,-0.97,NA,-0.088,NA,NA,1,0,0,0,0,0,0,0
SG KIMANIS,amin_4Q,1410031SF,9,NA,NA,NA,NA,NA,-0.153,0.673,NA,NA,NA,2,1,0,0,0,0,0,0
SG KINABATANGAN,amin_4Q,1040131SF,41,NA,NA,NA,NA,NA,4.6,NA,-42.212,NA,NA,110,57,33,23,16,14,8,4
SG KINABATANGAN,amin_4Q,1040181SF,35,NA,NA,NA,NA,NA,3.943,NA,-12.87,NA,NA,76,39,23,17,13,12,9,6
SG KINABATANGAN,amin_4Q,1160281SF,20,NA,NA,13.157,0.378,NA,NA,NA,NA,NA,NA,48,34,27,23,21,20,18,16
SG KLANG,amin_4Q,0230291SF,51,NA,NA,NA,NA,NA,1.757,NA,-3.538,NA,NA,6,2,1,0,0,0,-1,-1
SG KLANG,amin_4Q,0230311SF,53,NA,NA,0.748,0.458,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,0,0
SG KLANG,amin_4Q,0230361SF,50,NA,NA,NA,NA,NA,2.043,NA,-0.056,NA,NA,24,8,4,2,2,2,1,1
SG KRIAN,amin_4Q,1813401,21,NA,NA,0.822,3.672,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0
SG KUANTAN,amin_4Q,0570011SF,44,NA,NA,NA,NA,NA,3.143,NA,-16.837,NA,NA,15,6,2,0,-1,-1,-3,-3
SG LANGAT,amin_4Q,0240251SF,62,NA,NA,NA,NA,NA,3.53,NA,-26.803,NA,NA,12,7,4,3,2,2,1,0
SG LANGAT,amin_4Q,0240261SF,46,NA,NA,NA,NA,NA,0.935,0.82,NA,NA,NA,7,3,1,1,1,1,0,0
SG LANGAT,amin_4Q,0240311SF,59,NA,NA,2.578,3.231,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
SG LANGAT,amin_4Q,0240351SF,51,NA,NA,NA,NA,NA,0.618,0.747,NA,NA,NA,5,2,1,1,1,1,0,0
SG LANGAT,amin_4Q,0240491SF,11,NA,NA,NA,NA,NA,2.91,0.342,NA,NA,NA,29,18,14,12,10,10,9,8
SG LINGGI,amin_4Q,0270171SF,65,NA,NA,NA,NA,NA,1.854,NA,-2.931,NA,NA,9,3,1,0,0,0,-1,-1
SG LINGGI,amin_4Q,0270181SF,49,NA,NA,NA,NA,NA,-0.415,NA,-0.106,NA,NA,2,1,0,0,0,0,0,0
SG LINGGI,amin_4Q,0270191SF,58,NA,NA,NA,NA,NA,-0.901,NA,0.014,NA,NA,2,0,0,0,0,0,0,0
SG LINGGI,amin_4Q,0270241SF,11,-0.089,0.121,-1.539,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
SG LINGGI,amin_4Q,0270311SF,23,NA,NA,0.432,0.115,NA,NA,NA,NA,NA,NA,11,1,0,0,0,0,0,0
SG MELAKA,amin_4Q,0290141SF,64,NA,NA,NA,NA,NA,-0.23,1.346,NA,NA,NA,4,1,0,0,0,0,0,0
SG MELAKA,amin_4Q,0290161SF,49,NA,NA,NA,NA,NA,-1.883,0.958,NA,NA,NA,1,0,0,0,0,0,0,0
SG MERANG,amin_4Q,0680091SF,45,NA,NA,2.817,12.791,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
SG MUAR,amin_4Q,0320461SF,50,NA,NA,NA,NA,NA,0.793,NA,-0.916,NA,NA,3,1,0,0,0,0,0,0
SG MUAR,amin_4Q,0320471SF,60,NA,NA,NA,NA,NA,1.968,NA,-4.011,NA,NA,9,3,1,0,-1,-1,-1,-2
SG MUAR,amin_4Q,0320481SF,58,NA,NA,NA,NA,NA,-0.112,3.921,NA,NA,NA,139,1,0,0,0,0,0,0
SG MUAR,amin_4Q,0320651SF,10,NA,NA,2.855,1.269,NA,NA,NA,NA,NA,NA,4,2,1,1,1,1,0,0
SG MUAR,amin_4Q,0320851SF,15,NA,NA,0.606,0.201,NA,NA,NA,NA,NA,NA,8,2,0,0,0,0,0,0
SG MUDA,amin_4Q,0050011SF,64,NA,NA,NA,NA,NA,2.86,NA,-5.186,NA,NA,35,12,5,2,1,0,-1,-1
SG MUDA,amin_4Q,0050181SF,61,NA,NA,NA,NA,NA,1.358,NA,0.148,NA,NA,17,4,2,1,1,1,1,0
SG MUDA,amin_4Q,0050301SF,38,NA,NA,NA,NA,NA,1.634,0.711,NA,NA,NA,13,5,3,2,2,1,1,1
SG PAHANG,amin_4Q,0550801SF,62,NA,NA,NA,NA,NA,1.214,NA,-1.766,NA,NA,5,2,0,0,0,0,-1,-1
